iataCode,cityName,airportName,countryCode
SNT,Las Cruces,Las Cruces Airport,CO
SNU,Abel Santamaria,Abel Santamaria Airport,CU
SNV,Santa Elena de Uairen,Santa Elena de Uairen Airport,VE
SNW,Thandwe,Thandwe Airport,MM
SNX,Semnan,Semnan Municipal Airport,IR
SNY,Sidney,Sidney Municipal Airport (Lloyd W. Carr Field),US
SNZ,Santa Cruz,Santa Cruz Air Force Base,BR
SOA,Soc Trang,Soc Trang Airfield,VN
SOB,Heviz-Balaton,Heviz-Balaton Airport,HU
SOC,Adisumarmo,Adisumarmo International Airport,ID
SOD,Bertram Luiz Leupolz-Sorocaba,Bertram Luiz Leupolz-Sorocaba Airport,BR
SOE,Souanke,Souanke Airport,CG
SOF,Sofia,Sofia Airport,BG
SOG,Sogndal,Sogndal Airport,NO
SOJ,Sorkjosen,Sorkjosen Airport,NO
SOK,Semonkong,Semonkong Airport,LS
SOL,Solomon State,Solomon State Field Airport,US
SOM,San Tome,San Tome Airport,VE
SON,Santo-Pekoa,Santo-Pekoa International Airport,VU
SOO,Soderhamn,Soderhamn Airport (Helsinge Airport),SE
SOP,Moore,Moore County Airport,US
SOQ,Dominique Edward Osok,Dominique Edward Osok Airport,ID
SOT,Sodankyla,Sodankyla Airfield,FI
SOU,Southampton,Southampton Airport,GB
SOV,Seldovia,Seldovia Airport,US
SOW,Show Low,Show Low Regional Airport,US
SOX,Alberto Lleras Camargo,Alberto Lleras Camargo Airport,CO
SOY,Stronsay,Stronsay Airport,GB
SOZ,Solenzara,Solenzara Air Base,FR
SPA,Spartanburg Downtown Memorial,Spartanburg Downtown Memorial Airport,US
SPB,Charlotte Amalie Harbor,Charlotte Amalie Harbor Seaplane Base (St. Thomas Seaplane Base),VI
SPC,La Palma,La Palma Airport,ES
SPD,Saidpur,Saidpur Airport,BD
SPE,Sepulot,Sepulot Airport,MY
SPF,Black Hills,Black Hills Airport (Clyde Ice Field),US
SPG,Albert Whitted,Albert Whitted Airport,US
SPH,Sopu,Sopu Airport,PG
SPI,Abraham Lincoln Capital,Abraham Lincoln Capital Airport,US
SPJ,Sparti,Sparti Airport,GR
SPM,Spangdahlem,Spangdahlem Air Base,DE
SPN,Saipan,Saipan International Airport (Francisco C. Ada Int'l),MP
SPP,Menongue,Menongue Airport,AO
SPR,John Greif II,John Greif II Airport,BZ
SPS,Sheppard,Sheppard Air Force Base / Wichita Falls Municipal Airport,US
SPT,Sipitang,Sipitang Airstrip,MY
SPU,Split,Split Airport,HR
SPV,Sepik Plains,Sepik Plains Airport,PG
SPW,Spencer,Spencer Municipal Airport,US
SPX,Sphinx,Sphinx International Airport,EG
SPY,San Pedro,San Pedro Airport,CI
SPZ,Springdale,Springdale Municipal Airport,US
SQA,Santa Ynez,Santa Ynez Airport,US
SQB,Santa Ana,Santa Ana Airport,CO
SQC,Southern Cross,Southern Cross Airport,AU
SQD,Shangrao Sanqingshan,Shangrao Sanqingshan Airport,CN
SQE,San Luis de Palenque,San Luis de Palenque Airport,CO
SQG,Sintang,Sintang Airport (Susilo Airport),ID
SQH,Na San,Na San Airport,VN
SQI,Whiteside,Whiteside County Airport (Jos. H. Bittorf Field),US
SQJ,Sanming Shaxian,Sanming Shaxian Airport,CN
SQK,Sidi Barrani,Sidi Barrani Airport,EG
SQL,San Carlos,San Carlos Airport,US
SQM,Sao Miguel do Araguaia,Sao Miguel do Araguaia Airport,BR
SQN,Sanana,Sanana Airport,ID
SQO,Storuman,Storuman Airport,SE
SQQ,Siauliai,Siauliai International Airport,LT
SQR,Soroako,Soroako Airport,ID
SQS,Matthew Spain,Matthew Spain Airport,BZ
SQT,China Strait,China Strait Airstrip,PG
SQU,Saposoa,Saposoa Airport,PE
SQV,Sequim Valley,Sequim Valley Airport,US
SQW,Skive,Skive Airport,DK
SQX,Helio Wasum,Helio Wasum Airport,BR
SQY,Sao Lourenco do Sul,Sao Lourenco do Sul Airport,BR
SQZ,Scampton,RAF Scampton,GB
SRA,Santa Rosa,Santa Rosa Airport,BR
SRB,Santa Rosa,Santa Rosa Airport,BO
SRC,Searcy,Searcy Municipal Airport,US
SRD,San Ramon,San Ramon Airport,BO
SRE,Juana Azurduy de Padilla,Juana Azurduy de Padilla International Airport,BO
SRF,San Rafael,San Rafael Airport (Hamilton Field),US
SRG,Achmad Yani,Achmad Yani International Airport,ID
SRH,Sarh,Sarh Airport,TD
SRI,Temindung,Temindung Airport,ID
SRJ,Capitan German Quiroga Guardia,Capitan German Quiroga Guardia Airport,BO
SRL,Palo Verde,Palo Verde Airport,MX
SRM,Sandringham Station,Sandringham Station Airport,AU
SRN,Strahan,Strahan Airport,AU
SRO,Santana Ramos,Santana Ramos Airport,CO
SRP,Stord,Stord Airport,NO
SRQ,Sarasota-Bradenton,Sarasota-Bradenton International Airport,US
SRR,Dunwich,Dunwich Airport,AU
SRS,San Marcos,San Marcos Airport,CO
SRT,Soroti,Soroti Airport,UG
SRV,Stony River,Stony River Airport,US
SRW,Rowan,Rowan County Airport,US
SRX,Gardabya,Gardabya Airport,LY
SRY,Dasht-e Naz,Dasht-e Naz Airport,IR
SRZ,El Trompillo,El Trompillo Airport,BO
SSA,Deputado Luis Eduardo Magalhaes,Deputado Luis Eduardo Magalhaes International Airport,BR
SSB,Christiansted Harbor,Christiansted Harbor Seaplane Base (St. Croix Seaplane Base),VI
SSC,Shaw,Shaw Air Force Base,US
SSD,San Felipe,San Felipe Airport,CO
SSE,Solapur,Solapur Airport,IN
SSF,Stinson,Stinson Municipal Airport,US
SSG,Malabo,Malabo International Airport (Saint Isabel Airport),GQ
SSH,Sharm el-Sheikh,Sharm el-Sheikh International Airport,EG
SSI,Malcolm McKinnon,Malcolm McKinnon Airport,US
SSJ,Sandnessjoen,Sandnessjoen Airport,NO
SSK,Sturt Creek,Sturt Creek Airport,AU
SSL,Santa Rosalia,Santa Rosalia Airport,CO
SSN,Seoul,Seoul Air Base,KR
SSO,Sao Lourenco,Sao Lourenco Airport,BR
SSP,Silver Plains,Silver Plains Airport,AU
SSQ,La Sarre,La Sarre Airport,CA
SSR,Sara,Sara Airport,VU
SSS,Siassi,Siassi Airport,PG
SST,Santa Teresita,Santa Teresita Airport,AR
SSV,Siasi,Siasi Airport,PH
SSW,Stuart Island,Stuart Island Airpark,US
SSY,Mbanza Congo,Mbanza Congo Airport,AO
SSZ,Santos,Santos Air Force Base,BR
STA,Stauning Vestjylland,Stauning Vestjylland Airport,DK
STB,Miguel Urdaneta Fernandez,Miguel Urdaneta Fernandez Airport,VE
STC,St. Cloud,St. Cloud Regional Airport,US
STD,Mayor Buenaventura Vivas,Mayor Buenaventura Vivas Airport,VE
STE,Stevens Point,Stevens Point Municipal Airport,US
STF,Stephens Island,Stephens Island Airport,AU
STG,St. George,St. George Airport,US
STH,Strathmore,Strathmore Airport,AU
STI,Cibao,Cibao International Airport,DO
STJ,Rosecrans Memorial,Rosecrans Memorial Airport,US
STK,Sterling,Sterling Municipal Airport,US
STL,Lambert-St. Louis,Lambert-St. Louis International Airport,US
STM,Santarem-Maestro Wilson Fonseca,Santarem-Maestro Wilson Fonseca Airport,BR
STN,London,Stansted Airport,United Kingdom
STP,St. Paul Downtown,St. Paul Downtown Airport (Holman Field),US
STQ,St. Marys,St. Marys Municipal Airport,US
STR,Stuttgart,Stuttgart Airport,DE
STS,Charles M. Schulz-Sonoma County A,Charles M. Schulz-Sonoma County A,US
STT,Cyril E. King,Cyril E. King Airport,VI
STV,Surat,Surat Airport,IN
STW,Stavropol Shpakovskoye,Stavropol Shpakovskoye Airport,RU
STX,Henry E. Rohlsen,Henry E. Rohlsen Airport,VI
STY,Nueva Hesperides,Nueva Hesperides International Airport,UY
STZ,Santa Terezinha,Santa Terezinha Airport,BR
SUA,Witham,Witham Field,US
SUB,Juanda,Juanda International Airport,ID
SUD,Stroud,Stroud Municipal Airport,US
SUE,Door County Cherryland,Door County Cherryland Airport,US
SUF,Lamezia Terme,Lamezia Terme International Airport,IT
SUG,Surigao,Surigao Airport,PH
SUH,Sur,Sur Airport,OM
SUI,Sukhumi Babushara,Sukhumi Babushara Airport (Dranda Airport),GE
SUJ,Satu Mare,Satu Mare International Airport,RO
SUK,Sakkyryr,Sakkyryr Airport,RU
SUL,Sui,Sui Airport,PK
SUM,Sumter,Sumter Airport,US
SUN,Friedman Memorial,Friedman Memorial Airport,US
SUO,Sunriver,Sunriver Airport,US
SUP,Trunojoyo,Trunojoyo Airport,ID
SUQ,Sucua,Sucua Airport,EC
SUR,Summer Beaver,Summer Beaver Airport,CA
SUS,Spirit of St. Louis,Spirit of St. Louis Airport,US
SUT,Sumbawanga,Sumbawanga Airport,TZ
SUU,Travis,Travis Air Force Base,US
SUV,Nausori,Nausori International Airport,FJ
SUW,Richard I. Bong,Richard I. Bong Airport,US
SUX,Sioux Gateway,Sioux Gateway Airport (Colonel Bud Day Field),US
SUY,Suntar,Suntar Airport,RU
SUZ,Suria,Suria Airport,PG
SVA,Savoonga,Savoonga Airport,US
SVB,Sambava,Sambava Airport,IR
SVC,Grant,Grant County Airport,US
SVD,Argyle,Argyle International Airport,VC
SVE,Susanville,Susanville Municipal Airport,US
SVF,Save,Save Airport,BJ
SVG,Stavanger,Stavanger Airport,NO
SVH,Statesville,Statesville Regional Airport,US
SVI,Eduardo Falla Solano,Eduardo Falla Solano Airport,CO
SVJ,Svolvaer,Svolvaer Airport,NO
SVK,Silver Creek,Silver Creek Airport,BZ
SVL,Savonlinna,Savonlinna Airport,FI
SVM,St Pauls,St Pauls Airport,AU
SVN,Hunter Army,Hunter Army Airfield,US
SVO,Moscow,Sheremetyevo International Airport,Russia
SVP,Kuito,Kuito Airport,AO
SVQ,Seville,Seville Airport,ES
SVS,Stevens Village,Stevens Village Airport,US
SVT,Savuti,Savuti Airport,BW
SVU,Savusavu,Savusavu Airport,FJ
SVW,Sparrevohn LRRS,Sparrevohn LRRS Airport,US
SVX,Koltsovo,Koltsovo International Airport,RU
SVY,Savo,Savo Airport,SB
SVZ,Juan Vicente Gomez,Juan Vicente Gomez International Airport,VE
SWA,Jieyang Chaoshan,Jieyang Chaoshan International Airport,CN
SWB,Shaw River,Shaw River Airport,AU
SWC,Stawell,Stawell Airport,AU
SWD,Seward,Seward Airport,US
SWE,Siwea,Siwea Airport,PG
SWF,Stewart,Stewart International Airport,US
SWG,Satwag,Satwag Airport,PG
SWH,Swan Hill,Swan Hill Airport,AU
SWJ,South West Bay,South West Bay Airport,VU
SWL,San Vicente,San Vicente Airport,PH
SWM,Suia-Missu,Suia-Missu Airport,BR
SWN,Sahiwal,Sahiwal Airport,PK
SWO,Stillwater,Stillwater Regional Airport,US
SWP,Swakopmund,Swakopmund Airport,NA
SWQ,Sultan Muhammad Kaharuddin III,Sultan Muhammad Kaharuddin III Airport (Brangbiji Airport),ID
SWR,Silur,Silur Airport,PG
SWS,Swansea,Swansea Airport,GB
SWT,Strezhevoy,Strezhevoy Airport,RU
SWU,Suwon,Suwon Air Base,KR
SWV,Severo-Evensk,Severo-Evensk Airport,RU
SWW,Avenger,Avenger Field,US
SWX,Shakawe,Shakawe Airport,BW
SWY,Sitiawan,Sitiawan Airport,MY
SXA,Sialum,Sialum Airport,PG
SXB,Strasbourg,Strasbourg Airport,FR
SXE,West Sale,West Sale Airport,AU
SXF,Berlin Schonefeld,Berlin Schonefeld Airport,DE
SXG,Senanga,Senanga Airport,ZM
SXH,Sehulea,Sehulea Airport,PG
SXI,Sirri Island,Sirri Island Airport,IR
SXJ,Shanshan,Shanshan Airport,CN
SXK,Saumlaki,Saumlaki Airport (Olilit Airport),ID
SXL,Sligo,Sligo Airport,IE
SXM,Princess Juliana,Princess Juliana International Airport,SX
SXN,Sua Pan,Sua Pan Airport,BW
SXO,Sao Felix do Araguaia,Sao Felix do Araguaia,BR
SXP,Sheldon Point,Sheldon Point Airport,US
SXQ,Soldotna,Soldotna Airport,US
SXR,Sheikh ul Alam,Sheikh ul Alam International Airport,IN
SXS,Sahabat,Sahabat Airport,MY
